sense_type,source_id,target_id
nearsynonym,08026301,pwn_00147396V
synonym,08026302,04131201
synonym,08026302,03005901
nearsynonym,08026302,pwn_00147396V
synonym,08026304,07044704
nearsynonym,08026305,pwn_01801598V
synonym,08026306,06727701
synonym,08026306,06625603
nearsynonym,08026306,pwn_01127947V
synonym,08026306,06609702
synonym,08026501,07114701
synonym,08026501,07091404
synonym,08026501,09046401
synonym,08026501,09202501
varword,08026501,06504201
antonym,08026502,04124201
antonym,08026502,08026503
antonym,08026502,06504203
antonym,08026502,09046404
synonym,08026502,06005710
synonym,08026502,09256501
synonym,08026502,09046403
synonym,08026502,09202504
varword,08026502,06504202
synonym,08026502,04057403
antonym,08026503,09256501
antonym,08026503,06005710
antonym,08026503,06504202
antonym,08026503,09046403
antonym,08026503,09202504
synonym,08026503,04124201
synonym,08026503,09046404
varword,08026503,06504203
antonym,08026503,04057403
antonym,08027301,05088707
antonym,08027301,07084701
synonym,08027301,05136401
synonym,08027301,06627401
synonym,08027301,04163603
synonym,08027301,05013106
antonym,08027302,05088708
antonym,08027302,07084702
synonym,08027302,06627402
synonym,08027302,05136402
synonym,08027302,05013107
antonym,08027303,05088709
antonym,08027303,07084703
synonym,08027303,05013108
hypernym,08027303,05186501
antonym,08027304,07084704
antonym,08027304,05088710
synonym,08027304,06627403
synonym,08027304,04163601
synonym,08027304,05013104
synonym,08027306,05212802
antonym,08027307,07084710
antonym,08027307,06744608
antonym,08027307,07056408
antonym,08027307,07056401
synonym,08027307,05013111
hypernym,08027601,04123402
hypernym,08027701,04123402
synonym,08027902,07096102
synonym,08027904,05229106
synonym,08027905,052291a7
synonym,08027905,07043405
synonym,08027906,05229124
synonym,08027907,03023101
hypernym,08027912,05229137
synonym,08027913,05229180
synonym,08027914,07039207
synonym,08027915,07039210
synonym,08028001,04018203
synonym,08028001,07053602
synonym,08028001,06684701
synonym,08028001,06687901
synonym,08028001,06588401
synonym,08028401,06743302
hypernym,08028401,06612301
hypernym,08028402,06612301
synonym,08028404,07105901
synonym,08029001,05170502
synonym,08029003,05170501
synonym,08029003,04143601
synonym,08029007,09287801
hypernym,08029201,06771801
synonym,08030011,06715903
synonym,08030011,06749210
synonym,08030011,03012303
synonym,08030011,05193411
synonym,08030011,09232103
synonym,08030011,05056802
synonym,08030014,06565601
synonym,08030001,05106801
synonym,08030701,06739202
synonym,08030703,06585301
synonym,08030703,09310301
synonym,08030703,06771901
synonym,08030703,06640001
synonym,08030703,07082701
synonym,08031101,06034904
synonym,08031101,07024503
synonym,08031101,06750701
synonym,08031101,06722201
hyponym,08031101,05188503
hyponym,08031101,03031301
hyponym,08031101,07008001
hyponym,08031101,07080504
hyponym,08031101,07077002
hyponym,08031101,08032301
hyponym,08031101,08032302
hyponym,08031101,08032401
hyponym,08031101,08032501
hyponym,08031101,08032601
hyponym,08031101,08032701
hyponym,08031101,08039901
hyponym,08031101,08040001
hyponym,08031101,08032801
hyponym,08031101,08035601
hyponym,08031101,08033901
hyponym,08031101,08034001
hyponym,08031101,06582501
hyponym,08031101,07065207
meronym,08031101,04059704
hyponym,08031101,06657301
hyponym,08031101,05202301
hyponym,08031101,07027102
hyponym,08031101,06599901
hyponym,08031101,04064701
hyponym,08031101,04075401
hyponym,08031101,04075601
hyponym,08031101,04076401
hyponym,08031101,04077301
hyponym,08031101,04078201
hyponym,08031101,04079202
hyponym,08031101,08049001
hyponym,08031101,04157301
hyponym,08031101,04162701
hyponym,08031101,04162902
hyponym,08031101,04163002
hyponym,08031101,04163102
hyponym,08031101,04163201
hypernym,08031101,07027401
synonym,08031301,09291401
synonym,08031301,06629602
synonym,08031401,06736701
synonym,08031401,14598201
synonym,08031401,06595603
synonym,08031401,06652304
synonym,08031402,06708302
synonym,08031402,05220801
synonym,08031402,05239801
synonym,08031402,07029201
synonym,08031402,07027501
synonym,08031501,06768201
synonym,08031502,06768203
synonym,08032001,07075105
nearsynonym,08032001,pwn_03986577N
hypernym,08032001,06739701
nearsynonym,08032002,pwn_03986577N
hypernym,08032002,06771901
synonym,08032101,08032201
hypernym,08032101,13642401
hypernym,08032201,13642401
hypernym,08032301,13642401
nearsynonym,08032302,pwn_06273995N
nearsynonym,08032402,pwn_02324343A
hypernym,08032402,06505501
nearsynonym,08032502,pwn_01200711A
hypernym,08032502,06505501
nearsynonym,08032602,pwn_02287795A
hypernym,08032602,06505501
synonym,08032701,08032801
synonym,08032702,08032802
nearsynonym,08032702,pwn_02703125A
hypernym,08032702,06505501
nearsynonym,08032802,pwn_02703125A
hypernym,08032802,06505501
hypernym,08032901,05226701
hypernym,08033001,05226701
hypernym,08033101,05226701
hypernym,08033201,05226701
hypernym,08033301,05226701
nearsynonym,08033401,pwn_08649175N
hypernym,08033401,05226701
hypernym,08033501,14133801
hypernym,08033502,06579401
hypernym,08033503,06680602
hypernym,08033601,06630601
hypernym,08033701,06680602
hypernym,08033801,06529801
hypernym,08033901,pwn_06358701N
hypernym,08034101,14466301
hyponym,08034101,08034201
nearsynonym,08034102,pwn_10975138N
hypernym,08034102,14466301
nearsynonym,08034103,pwn_10975138N
hypernym,08034201,pwn_10975138N
hypernym,08034301,pwn_03721937N
hypernym,08034301,14585601
hyponym,08034301,08034401
hyponym,08034501,pwn_00775186V
hypernym,08034601,04123402
synonym,08034801,06720101
synonym,08034801,04077001
synonym,08034801,07125301
synonym,08034801,07102901
hypernym,08034801,09291401
synonym,08034802,06720102
synonym,08034802,07125301
synonym,08034803,06720103
synonym,08034803,06680102
synonym,08034803,04077002
synonym,08034803,08011003
synonym,08034803,06613403
synonym,08034803,06708802
synonym,08034803,08011202
synonym,08034804,06720104
hypernym,08034901,09291401
hypernym,08035601,06722201
hypernym,08035701,14585301
synonym,08035702,05219601
hypernym,08035702,13338801
hypernym,08035801,04123402
hypernym,08036001,04123402
hypernym,08036201,06582901
varword,08036401,07059101
varword,08036402,07059102
synonym,08036403,06728101
varword,08036403,07059103
varword,08036404,07059104
varword,08036405,07059105
synonym,08036701,09070601
holonym,08036701,06664901
hypernym,08036801,05226801
hyponym,08036801,05236101
hyponym,08036801,09127401
hyponym,08036801,09306101
hyponym,08036801,05235801
hyponym,08036801,09301101
hyponym,08036901,08037101
hypernym,08036901,13642401
hypernym,08037201,06750901
antonym,08037203,06748412
synonym,08037203,06010615
hyponym,08037601,08041001
