relation_type,source_id,target_id,direction
generic,03005006,pwn_05978135N,forward
generic,03005009,pwn_06237232N,forward
generic,03005010,pwn_06237232N,forward
generic,03005011,pwn_06039237N,forward
synonym,03005201,03058201,forward
synonym,03005201,03058401,forward
synonym,03005201,03058501,forward
synonym,03005201,05191401,forward
synonym,03005201,09261701,forward
synonym,03005201,09283401,forward
synonym,03005201,09201001,forward
generic,03005201,pwn_00059471R,forward
generic,03005301,pwn_01453656A,forward
has_facet,03005401,0300540101,forward
has_facet,03005401,0300540102,forward
generic,03005401,pwn_01561557V,forward
generic,03005402,pwn_01600785V,forward
hypernym,03005403,pwn_01129735V,forward
synonym,03005501,07031101,forward
synonym,03005501,05119901,forward
synonym,03005501,06595907,forward
synonym,03005501,06706801,forward
synonym,03005502,06595908,forward
synonym,03005502,06706802,forward
generic,03005502,pwn_01820991V,forward
generic,03005601,pwn_01850366A,forward
generic,03005602,pwn_00362427V,forward
has_facet,03005603,0300560301,forward
has_facet,03005603,0300560302,forward
generic,03005603,pwn_00526635V,forward
generic,03005604,pwn_00521178V,forward
has_facet,03005701,0300570101,forward
has_facet,03005701,0300570102,forward
generic,03005701,pwn_00526635V,forward
nearsynonym,03005801,03045301,forward
nearsynonym,03005801,03044101,forward
holonym,03005801,06560101,forward
synonym,03005901,08026302,forward
nearsynonym,03005901,pwn_00147396V,forward
varword,03005901,04131201,forward
has_facet,03005902,0300590201,forward
has_facet,03005902,0300590202,forward
generic,03005902,pwn_00406072V,forward
varword,03005902,04131202,forward
generic,03006001,pwn_00759599A,forward
varword,03006001,04133101,forward
hyponym,03006002,0521630101,forward
synonym,03006002,05174401,forward
synonym,03006002,07040109,forward
generic,03006002,pwn_00872632A,forward
varword,03006002,04133102,forward
hyponym,03006002,05216301,forward
has_facet,03006101,0300610101,forward
has_facet,03006101,0300610102,forward
generic,03006101,pwn_01703421V,forward
synonym,03006201,04010802,forward
generic,03006301,pwn_00201974R,forward
generic,03006401,pwn_00814086V,forward
generic,03006402,pwn_00787073V,forward
synonym,03006403,05105806,forward
synonym,03006403,05227018,forward
synonym,03006403,09297706,forward
generic,03006403,pwn_01554751V,forward
synonym,03006404,05105808,forward
synonym,03006404,05227020,forward
synonym,03006404,09297708,forward
generic,03006404,pwn_01575110V,forward
has_facet,03006501,0300650101,forward
has_facet,03006501,0300650102,forward
generic,03006501,pwn_07661856N,forward
generic,03006601,pwn_00427123A,forward
generic,03006602,pwn_01642940A,forward
antonym,03006701,03018301,forward
antonym,03006701,03018202,forward
antonym,03006701,04143902,forward
antonym,03006701,06630502,forward
antonym,03006701,04143801,forward
synonym,03006701,03033702,forward
synonym,03006701,06551002,forward
generic,03006701,pwn_00064722R,forward
holonym,03006701,06750901,forward
generic,03006702,pwn_06320533N,forward
has_facet,03006801,0300680101,forward
has_facet,03006801,0300680102,forward
generic,03006801,pwn_01576902V,forward
generic,03006901,pwn_00097683R,forward
holonym,03006901,06560103,forward
generic,03006902,pwn_10965545N,forward
generic,03006903,pwn_00100303R,forward
generic,03006904,pwn_00032246R,forward
synonym,03007001,06617901,forward
synonym,03007001,06649210,forward
hypernym,03007001,pwn_01696280V,forward
synonym,03007002,06617902,forward
generic,03007002,pwn_01554751V,forward
synonym,03007101,145587,forward
generic,03007101,pwn_00824313A,forward
varword,03007101,14558701,forward
generic,03007102,pwn_01646459V,forward
synonym,03007201,05046801,forward
synonym,03007201,05065801,forward
synonym,03007201,06771101,forward
synonym,03007201,10004001,forward
generic,03007201,pwn_01790203V,forward
synonym,03007202,05046802,forward
synonym,03007202,05065802,forward
synonym,03007202,06771102,forward
synonym,03007202,06595912,forward
synonym,03007202,10004002,forward
generic,03007202,pwn_00171832V,forward
generic,03007301,pwn_01775163V,forward
holonym,03007301,06560102,forward
holonym,03007301,06750901,forward
generic,03007302,pwn_01675140V,forward
synonym,03007303,0658610101,forward
generic,03007303,pwn_01614361V,forward
varword,03007303,06586101,forward
hyponym,03007304,07007702,forward
synonym,03007304,07007701,forward
synonym,03007304,08004304,forward
generic,03007304,pwn_00613914V,forward
synonym,03007305,04004501,forward
synonym,03007305,04004505,forward
generic,03007305,pwn_01713921V,forward
synonym,03007401,06604401,forward
generic,03007401,pwn_00014887N,forward
generic,03007404,pwn_06182017N,forward
has_facet,03007501,0300750101,forward
has_facet,03007501,0300750102,forward
hypernym,03007501,pwn_01525812V,forward
has_facet,03007601,0300760101,forward
has_facet,03007601,0300760102,forward
generic,03007601,pwn_00681381V,forward
synonym,03007602,05083902,forward
generic,03007602,pwn_02662058N,forward
hypernym,03007602,06579401,forward
generic,03007603,pwn_00024173A,forward
has_facet,03007701,0300770101,forward
has_facet,03007701,0300770102,forward
generic,03007701,pwn_00775673V,forward
generic,03007801,pwn_00703535N,forward
generic,03007802,pwn_01548440V,forward
hypernym,03007901,pwn_00231588V,forward
generic,03007902,pwn_00362427V,forward
generic,03008001,pwn_00462716V,forward
synonym,03008101,0662240101,forward
synonym,03008101,06538304,forward
synonym,03008101,09266801,forward
generic,03008101,pwn_01639540V,forward
synonym,03008101,06622401,forward
synonym,03008201,05229105,forward
synonym,03008201,0300830102,forward
hypernym,03008201,pwn_01342394V,forward
hypernym,03008201,pwn_00960484V,forward
synonym,03008201,03008301,forward
synonym,03008202,05229123,forward
generic,03008202,pwn_00783256V,forward
synonym,03008203,05229118,forward
hypernym,03008203,pwn_00785450V,forward
varword,03008203,05229101,forward
synonym,03008204,05229119,forward
generic,03008204,pwn_01092207V,forward
nearsynonym,03008205,pwn_01343131V,forward
synonym,03008206,05229111,forward
generic,03008206,pwn_00430666V,forward
synonym,03008207,05229112,forward
generic,03008207,pwn_01136879V,forward
has_facet,03008208,0300820801,forward
has_facet,03008208,0300820802,forward
synonym,03008208,05229114,forward
generic,03008208,pwn_01575110V,forward
nearsynonym,03008209,pwn_00727813V,forward
synonym,03008210,05105807,forward
synonym,03008210,05227019,forward
synonym,03008210,09297707,forward
generic,03008210,pwn_01554751V,forward
has_facet,03008301,0300830101,forward
has_facet,03008301,0300830102,forward
hypernym,03008301,pwn_01342394V,forward
hypernym,03008301,pwn_00960484V,forward
nearsynonym,03008302,pwn_01343131V,forward
generic,03008303,pwn_00745640V,forward
has_facet,03008304,0300830401,forward
has_facet,03008304,0300830402,forward
generic,03008304,pwn_00764618V,forward
generic,03008305,pwn_00770753V,forward
generic,03008306,pwn_01781656V,forward
generic,03008307,pwn_01781656V,forward
generic,03008308,pwn_00676476V,forward
synonym,03008309,0410200101,forward
hypernym,03008309,05229136,forward
generic,03008309,pwn_00042237V,forward
synonym,03008309,04102001,forward
